hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
AIRTRK.MIL.ROT.MNECM 	S	*	A	*	MHI---	MINE COUNTERMEASURES	
AIRTRK.MIL.ROT.CSAR 	S	*	A	*	MHH---	COMBAT SEARCH AND RESCUE (CSAR)	
AIRTRK.MIL.ROT.RECON 	S	*	A	*	MHR---	RECONNAISSANCE	
AIRTRK.MIL.ROT.DRN 	S	*	A	*	MHQ---	DRONE (RPV/UA)	
AIRTRK.MIL.ROT.CGOALT 	S	*	A	*	MHC---	CARGO AIRLIFT (TRANSPORT)	
AIRTRK.MIL.ROT.CGOALT.LIT 	S	*	A	*	MHCL--	CARGO AIRLIFT (LIGHT)	
AIRTRK.MIL.ROT.CGOALT.MDM 	S	*	A	*	MHCM--	CARGO AIRLIFT (MEDIUM)	
AIRTRK.MIL.ROT.CGOALT.HVY 	S	*	A	*	MHCH--	CARGO AIRLIFT (HEAVY)	
AIRTRK.MIL.ROT.TNE 	S	*	A	*	MHT---	TRAINER	
AIRTRK.MIL.ROT.MEDV 	S	*	A	*	MHO---	MEDEVAC	
AIRTRK.MIL.ROT.SOF 	S	*	A	*	MHM---	SPECIAL OPERATIONS FORCES (SOF)	
AIRTRK.MIL.ROT.ABNCP 	S	*	A	*	MHD---	AIRBORNE COMMAND POST (C2)	
AIRTRK.MIL.ROT.TNK 	S	*	A	*	MHK---	TANKER	
AIRTRK.MIL.ROT.ECM 	S	*	A	*	MHJ---	ELECTRONIC COUNTERMEASURES (ECM/JAMMER)	
AIRTRK.MIL.LTA 	S	*	A	*	ML----	LIGHTER THAN AIR	
AIRTRK.MIL.VIP 	S	*	A	*	MV----	VERY IMPORTANT PERSON (VIP)	
AIRTRK.MIL.ESCORT 	S	*	A	*	ME----	ESCORT	
AIRTRK.WPN 	S	*	A	*	W-----	WEAPON	
AIRTRK.WPN.MSLIF 	S	*	A	*	WM----	MISSILE IN FLIGHT	
AIRTRK.WPN.MSLIF.SLM 	S	*	A	*	WMS---	SURFACE LAUNCHED MISSILE	
AIRTRK.WPN.MSLIF.SLM.SSM 	S	*	A	*	WMSS--	SURFACE-TO-SURFACE MISSILE (SSM)	
AIRTRK.WPN.MSLIF.SLM.SAM 	S	*	A	*	WMSA--	SURFACE-TO-AIR MISSILE (SAM)	
AIRTRK.WPN.MSLIF.SLM.SSUM 	S	*	A	*	WMSU--	SURFACE-TO-SUBSURFACE MISSILE	
AIRTRK.WPN.MSLIF.SLM.ABM 	S	*	A	*	WMSB--	ANTIBALLISTIC MISSILE (ABM)	
AIRTRK.WPN.MSLIF.ALM 	S	*	A	*	WMA---	AIR LAUNCHED MISSILE	
AIRTRK.WPN.MSLIF.ALM.ASM 	S	*	A	*	WMAS--	AIR-TO-SURFACE MISSILE (ASM)	
AIRTRK.WPN.MSLIF.ALM.AAM 	S	*	A	*	WMAA--	AIR-TO-AIR MISSILE (AAM)	
AIRTRK.WPN.MSLIF.ALM.ASPC 	S	*	A	*	WMAP--	AIR-TO-SPACE MISSILE	
AIRTRK.WPN.MSLIF.SBSM 	S	*	A	*	WMU---	SUBSURFACE-TO-SURFACE MISSILE (S/SSM)	
AIRTRK.WPN.MSLIF.CM 	S	*	A	*	WMCM--	CRUISE MISSILE	
AIRTRK.WPN.MSLIF.BLST 	S	*	A	*	WMB---	BALLISTIC MISSILE	
AIRTRK.WPN.BM 	S	*	A	*	WB----	BOMB	
AIRTRK.WPN.DCY 	S	*	A	*	WD----	DECOY	
AIRTRK.CVL 	S	*	A	*	C-----	CIVIL AIRCRAFT	
AIRTRK.CVL.FIXD 	S	*	A	*	CF----	FIXED WING	
AIRTRK.CVL.ROT 	S	*	A	*	CH----	ROTARY WING	
AIRTRK.CVL.LTA 	S	*	A	*	CL----	LIGHTER THAN AIR	
