geometry	hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
POINT	TACGRP.C2GM.GNL.PNT.REFPNT.SPLPNT	G	*	G	*	GPRS--	SPECIAL POINT	
POINT	TACGRP.C2GM.GNL.PNT.REFPNT.DLRP	G	*	G	*	GPRD--	DLRP	
POINT	TACGRP.C2GM.GNL.PNT.REFPNT.PIM	G	*	G	*	GPRP--	POINT OF INTENDED MOVEMENT (PIM)	
POINT	TACGRP.C2GM.GNL.PNT.REFPNT.MRSH	G	*	G	*	GPRM--	MARSHALL POINT	
POINT	TACGRP.C2GM.GNL.PNT.REFPNT.WAP	G	*	G	*	GPRW--	WAYPOINT	
POINT	TACGRP.C2GM.GNL.PNT.REFPNT.CRDRTB	G	*	G	*	GPRC--	CORRIDOR TAB	
POINT	TACGRP.C2GM.GNL.PNT.REFPNT.PNTINR	G	*	G	*	GPRI--	POINT OF INTEREST	
	TACGRP.C2GM.GNL.PNT.WPN	G	*	G	*	GPW---	WEAPON	N/A
POINT	TACGRP.C2GM.GNL.PNT.WPN.AIMPNT	G	*	G	*	GPWA--	AIM POINT	
POINT	TACGRP.C2GM.GNL.PNT.WPN.DRPPNT	G	*	G	*	GPWD--	DROP POINT	
POINT	TACGRP.C2GM.GNL.PNT.WPN.ENTPNT	G	*	G	*	GPWE--	ENTRY POINT	
POINT	TACGRP.C2GM.GNL.PNT.WPN.GRDZRO	G	*	G	*	GPWG--	GROUND ZERO	
POINT	TACGRP.C2GM.GNL.PNT.WPN.MSLPNT	G	*	G	*	GPWM--	MSL DETECT POINT	
POINT	TACGRP.C2GM.GNL.PNT.WPN.IMTPNT	G	*	G	*	GPWI--	IMPACT POINT	
POINT	TACGRP.C2GM.GNL.PNT.WPN.PIPNT	G	*	G	*	GPWP--	PREDICTED IMPACT POINT	
POINT	TACGRP.C2GM.GNL.PNT.FRMN	G	*	G	*	GPF---	FORMATION	
POINT	TACGRP.C2GM.GNL.PNT.HBR	G	*	G	*	GPH---	HARBOR (GENERAL)	
POINT	TACGRP.C2GM.GNL.PNT.HBR.PNTQ	G	*	G	*	GPHQ--	POINT Q	
POINT	TACGRP.C2GM.GNL.PNT.HBR.PNTA	G	*	G	*	GPHA--	POINT A	
POINT	TACGRP.C2GM.GNL.PNT.HBR.PNTY	G	*	G	*	GPHY--	POINT Y	
POINT	TACGRP.C2GM.GNL.PNT.HBR.PNTX	G	*	G	*	GPHX--	POINT X	
POINT	TACGRP.C2GM.GNL.PNT.RTE	G	*	G	*	GPO---	ROUTE	
POINT	TACGRP.C2GM.GNL.PNT.RTE.RDV	G	*	G	*	GPOZ--	RENDEZVOUS	
POINT	TACGRP.C2GM.GNL.PNT.RTE.DVSN	G	*	G	*	GPOD--	DIVERSIONS	
POINT	TACGRP.C2GM.GNL.PNT.RTE.WAP	G	*	G	*	GPOW--	WAYPOINT	
POINT	TACGRP.C2GM.GNL.PNT.RTE.PIM	G	*	G	*	GPOP--	PIM	
POINT	TACGRP.C2GM.GNL.PNT.RTE.PNTR	G	*	G	*	GPOR--	POINT R	
POINT	TACGRP.C2GM.GNL.PNT.ACTL	G	*	G	*	GPA---	AIR CONTROL	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.CAP	G	*	G	*	GPAP--	COMBAT AIR PATROL (CAP)	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.ABNEW	G	*	G	*	GPAW--	AIRBORNE EARLY WARNING (AEW)	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.TAK	G	*	G	*	GPAK--	TANKING	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.ASBWF	G	*	G	*	GPAA--	ANTISUBMARINE WARFARE, FIXED WING	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.ASBWR	G	*	G	*	GPAH--	ANTISUBMARINE WARFARE, ROTARY WING	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.SUWF	G	*	G	*	GPAB--	SUCAP - FIXED WING	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.SUWR	G	*	G	*	GPAC--	SUCAP - ROTARY WING	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.MIWF	G	*	G	*	GPAD--	MIW - FIXED WING	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.MIWR	G	*	G	*	GPAE--	MIW - ROTARY WING	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.SKEIP	G	*	G	*	GPAS--	STRIKE IP	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.TCN	G	*	G	*	GPAT--	TACAN	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.TMC	G	*	G	*	GPAO--	TOMCAT	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.RSC	G	*	G	*	GPAR--	RESCUE	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.RPH	G	*	G	*	GPAL--	REPLENISH	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.UA	G	*	G	*	GPAF--	UNMANNED AERIAL SYSTEM (UAS/UA)	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.VTUA	G	*	G	*	GPAG--	VTUA	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.ORB	G	*	G	*	GPAI--	ORBIT	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.ORBF8	G	*	G	*	GPAJ--	ORBIT - FIGURE EIGHT	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.ORBRT	G	*	G	*	GPAM--	ORBIT - RACE TRACK	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.ORBRD	G	*	G	*	GPAN--	ORBIT - RANDOM, CLOSED	
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT	G	*	G	*	GPP---	ACTION POINTS (GENERAL)	
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT.CHKPNT	G	*	G	*	GPPK--	CHECK POINT	
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT.CONPNT	G	*	G	*	GPPC--	CONTACT POINT	
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT.CRDPNT	G	*	G	*	GPPO--	COORDINATION POINT	
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT.DCNPNT	G	*	G	*	GPPD--	DECISION POINT	
