hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
EMS.INFSTR.BFI.ATM 	E	*	F	*	BA----	ATM	
EMS.INFSTR.BFI.BANK 	E	*	F	*	BB----	BANK	
EMS.INFSTR.BFI.BLSTR 	E	*	F	*	BC----	BULLION STORAGE	
EMS.INFSTR.BFI.FRB 	E	*	F	*	BD----	FEDERAL RESERVE BANK	
EMS.INFSTR.BFI.FINEX 	E	*	F	*	BE----	FINANCIAL EXCHANGE	
EMS.INFSTR.BFI.FSO 	E	*	F	*	BF----	FINANCIAL SERVICES OTHER	
EMS.INFSTR.CMCL 	E	*	F	*	C-----	COMMERCIAL INFRASTRUCTURE	
EMS.INFSTR.CMCL.CMLPLN 	E	*	F	*	CA----	CHEMICAL PLANT	
EMS.INFSTR.CMCL.FIRMAN 	E	*	F	*	CB----	FIREARMS MANUFACTURER	
EMS.INFSTR.CMCL.FIRRET 	E	*	F	*	CC----	FIREARMS RETAILER	
EMS.INFSTR.CMCL.HZMTPR 	E	*	F	*	CD----	HAZARDOUS MATERIAL PRODUCTION	
EMS.INFSTR.CMCL.HZMTST 	E	*	F	*	CE----	HAZARDOUS MATERIAL STORAGE	
EMS.INFSTR.CMCL.INDSTE 	E	*	F	*	CF----	INDUSTRIAL SITE	
EMS.INFSTR.CMCL.LNDFL 	E	*	F	*	CG----	LANDFILL	
EMS.INFSTR.CMCL.RXMFG 	E	*	F	*	CH----	PHARMACEUTICAL MANUFACTURER	
EMS.INFSTR.CMCL.CHWS 	E	*	F	*	CI----	CONTAMINATED HAZARDOUS WASTE SITE	
EMS.INFSTR.CMCL.TXRLIN 	E	*	F	*	CJ----	TOXIC RELEASE INVENTORY	
EMS.INFSTR.EDFAC 	E	*	F	*	D-----	EDUCATIONAL FACILITIES INFRASTRUCTURE	
EMS.INFSTR.EDFAC.COLUNI 	E	*	F	*	DA----	COLLEGE UNIVERSITY	
EMS.INFSTR.EDFAC.SCHOOL 	E	*	F	*	DB----	SCHOOL	
EMS.INFSTR.ENGFAC 	S	*	G	*	IUE---	ENERGY FACILITIES INFRASTRUCTURE	
EMS.INFSTR.ENGFAC.GENSTA 	E	*	F	*	EA----	GENERATION STATION	
