hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
GRDTRK.UNT.CBT.RECON 	S	*	G	*	UCR---	RECONNAISSANCE	
GRDTRK.UNT.CBT.RECON.HRE 	S	*	G	*	UCRH--	RECONNAISSANCE HORSE	
GRDTRK.UNT.CBT.RECON.CVY 	S	*	G	*	UCRV--	RECONNAISSANCE CAVALRY	
GRDTRK.UNT.CBT.RECON.CVY.ARMD 	S	*	G	*	UCRVA-	RECONNAISSANCE CAVALRY ARMORED	
GRDTRK.UNT.CBT.RECON.CVY.MOT 	S	*	G	*	UCRVM-	RECONNAISSANCE CAVALRY MOTORIZED	
GRDTRK.UNT.CBT.RECON.CVY.GRD 	S	*	G	*	UCRVG-	RECONNAISSANCE CAVALRY GROUND	
GRDTRK.UNT.CBT.RECON.CVY.AIR 	S	*	G	*	UCRVO-	RECONNAISSANCE CAVALRY AIR	
GRDTRK.UNT.CBT.RECON.ARC 	S	*	G	*	UCRC--	RECONNAISSANCE ARCTIC	
GRDTRK.UNT.CBT.RECON.AAST 	S	*	G	*	UCRS--	RECONNAISSANCE AIR ASSAULT	
GRDTRK.UNT.CBT.RECON.ABN 	S	*	G	*	UCRA--	RECONNAISSANCE AIRBORNE	
GRDTRK.UNT.CBT.RECON.MNT 	S	*	G	*	UCRO--	RECONNAISSANCE MOUNTAIN	
GRDTRK.UNT.CBT.RECON.LIT 	S	*	G	*	UCRL--	RECONNAISSANCE LIGHT	
GRDTRK.UNT.CBT.RECON.MAR 	S	*	G	*	UCRR--	RECONNAISSANCE MARINE	
GRDTRK.UNT.CBT.RECON.MAR.DIV 	S	*	G	*	UCRRD-	RECONNAISSANCE MARINE DIVISION	
GRDTRK.UNT.CBT.RECON.MAR.FOR 	S	*	G	*	UCRRF-	RECONNAISSANCE MARINE FORCE	
GRDTRK.UNT.CBT.RECON.MAR.LAR 	S	*	G	*	UCRRL-	RECONNAISSANCE MARINE LIGHT ARMORED RECONNAISSNACE (LAR)	
GRDTRK.UNT.CBT.RECON.LRS 	S	*	G	*	UCRX--	RECONNAISSANCE LONG RANGE SURVEILLANCE (LRS)	
GRDTRK.UNT.CBT.MSL 	S	*	G	*	UCM---	MISSILE (SURF-SURF)	
GRDTRK.UNT.CBT.MSL.TAC 	S	*	G	*	UCMT--	MISSILE (SURF-SURF) TACTICAL	
GRDTRK.UNT.CBT.MSL.STGC 	S	*	G	*	UCMS--	MISSILE (SURF-SURF) STRATEGIC	
GRDTRK.UNT.CBT.ISF 	S	*	G	*	UCS---	INTERNAL SECURITY FORCES	
