hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
GRDTRK.EQT.WPN.HOW.LIT.SPD 	S	*	G	*	EWHLS-	HOWITZER LIGHT SELF-PROPELLED	
GRDTRK.EQT.WPN.HOW.MDM 	S	*	G	*	EWHM--	HOWITZER MEDIUM	
GRDTRK.EQT.WPN.HOW.MDM.SPD 	S	*	G	*	EWHMS-	HOWITZER MEDIUM SELF-PROPELLED	
GRDTRK.EQT.WPN.HOW.HVY 	S	*	G	*	EWHH--	HOWITZER HEAVY	
GRDTRK.EQT.WPN.HOW.HVY.SPD 	S	*	G	*	EWHHS-	HOWITZER HEAVY SELF-PROPELLED	
GRDTRK.EQT.WPN.ATG 	S	*	G	*	EWG---	ANTITANK GUN	
GRDTRK.EQT.WPN.ATG.LIT 	S	*	G	*	EWGL--	ANTITANK GUN LIGHT	
GRDTRK.EQT.WPN.ATG.MDM 	S	*	G	*	EWGM--	ANTITANK GUN MEDIUM	
GRDTRK.EQT.WPN.ATG.HVY 	S	*	G	*	EWGH--	ANTITANK GUN HEAVY	
GRDTRK.EQT.WPN.ATG.RECL 	S	*	G	*	EWGR--	ANTITANK GUN RECOILLESS	
GRDTRK.EQT.WPN.DFG 	S	*	G	*	EWD---	DIRECT FIRE GUN	
GRDTRK.EQT.WPN.DFG.LIT 	S	*	G	*	EWDL--	DIRECT FIRE GUN LIGHT	
GRDTRK.EQT.WPN.DFG.LIT.SPD 	S	*	G	*	EWDLS-	DIRECT FIRE GUN LIGHT SELF-PROPELLED	
GRDTRK.EQT.WPN.DFG.MDM 	S	*	G	*	EWDM--	DIRECT FIRE GUN MEDIUM	
GRDTRK.EQT.WPN.DFG.MDM.SPD 	S	*	G	*	EWDMS-	DIRECT FIRE GUN MEDIUM SELF-PROPELLED	
GRDTRK.EQT.WPN.DFG.HVY 	S	*	G	*	EWDH--	DIRECT FIRE GUN HEAVY	
GRDTRK.EQT.WPN.DFG.HVY.SPD 	S	*	G	*	EWDHS-	DIRECT FIRE GUN HEAVY SELF-PROPELLED	
GRDTRK.EQT.WPN.ADFG 	S	*	G	*	EWA---	AIR DEFENSE GUN	
GRDTRK.EQT.WPN.ADFG.LIT 	S	*	G	*	EWAL--	AIR DEFENSE GUN LIGHT	
GRDTRK.EQT.WPN.ADFG.MDM 	S	*	G	*	EWAM--	AIR DEFENSE GUN MEDIUM	
GRDTRK.EQT.WPN.ADFG.HVY 	S	*	G	*	EWAH--	AIR DEFENSE GUN HEAVY	
GRDTRK.EQT.GRDVEH 	S	*	G	*	EV----	GROUND VEHICLE	
GRDTRK.EQT.GRDVEH.ARMD 	S	*	G	*	EVA---	ARMORED VEHICLE	
GRDTRK.EQT.GRDVEH.ARMD.TANK 	S	*	G	*	EVAT--	TANK	
GRDTRK.EQT.GRDVEH.ARMD.TANK.LIT 	S	*	G	*	EVATL-	TANK LIGHT	
GRDTRK.EQT.GRDVEH.ARMD.TANK.LIT.RCY 	S	*	G	*	EVATLR	TANK LIGHT RECOVERY	
GRDTRK.EQT.GRDVEH.ARMD.TANK.MDM 	S	*	G	*	EVATM-	TANK MEDIUM	
GRDTRK.EQT.GRDVEH.ARMD.TANK.MDM.RCY 	S	*	G	*	EVATMR	TANK MEDIUM RECOVERY	
GRDTRK.EQT.GRDVEH.ARMD.TANK.HVY 	S	*	G	*	EVATH-	TANK HEAVY	
GRDTRK.EQT.GRDVEH.ARMD.TANK.HVY.RCY 	S	*	G	*	EVATHR	TANK HEAVY RECOVERY	
GRDTRK.EQT.GRDVEH.ARMD.ARMPC 	S	*	G	*	EVAA--	ARMORED PERSONNEL CARRIER	
GRDTRK.EQT.GRDVEH.ARMD.ARMPC.RCY 	S	*	G	*	EVAAR-	ARMORED PERSONNEL CARRIER RECOVERY	
GRDTRK.EQT.GRDVEH.ARMD.ARMINF 	S	*	G	*	EVAI--	ARMORED INFANTRY	
GRDTRK.EQT.GRDVEH.ARMD.C2V 	S	*	G	*	EVAC--	C2V/ACV	
GRDTRK.EQT.GRDVEH.ARMD.CSSVEH 	S	*	G	*	EVAS--	COMBAT SERVICE SUPPORT VEHICLE	
GRDTRK.EQT.GRDVEH.ARMD.LARMVH 	S	*	G	*	EVAL--	LIGHT ARMORED VEHICLE	
GRDTRK.EQT.GRDVEH.UTYVEH 	S	*	G	*	EVU---	UTILITY VEHICLE	
GRDTRK.EQT.GRDVEH.UTYVEH.BUS 	S	*	G	*	EVUB--	BUS	
GRDTRK.EQT.GRDVEH.UTYVEH.SEMI 	S	*	G	*	EVUS--	SEMI	
GRDTRK.EQT.GRDVEH.UTYVEH.SEMI.LIT 	S	*	G	*	EVUSL-	SEMI LIGHT	
GRDTRK.EQT.GRDVEH.UTYVEH.SEMI.MDM 	S	*	G	*	EVUSM-	SEMI MEDIUM	
GRDTRK.EQT.GRDVEH.UTYVEH.SEMI.HVY 	S	*	G	*	EVUSH-	SEMI HEAVY	
GRDTRK.EQT.GRDVEH.UTYVEH.LCCTRK 	S	*	G	*	EVUL--	LIMITED CROSS-COUNTRY TRUCK	
GRDTRK.EQT.GRDVEH.UTYVEH.CCTRK 	S	*	G	*	EVUX--	CROSS-COUNTRY TRUCK	
GRDTRK.EQT.GRDVEH.UTYVEH.H2OCRT 	S	*	G	*	EVUR--	WATER CRAFT	
GRDTRK.EQT.GRDVEH.UTYVEH.TOWTRK 	S	*	G	*	EVUT--	TOW TRUCK	
GRDTRK.EQT.GRDVEH.UTYVEH.TOWTRK.LIT 	S	*	G	*	EVUTL-	TOW TRUCK LIGHT	
GRDTRK.EQT.GRDVEH.UTYVEH.TOWTRK.HVY 	S	*	G	*	EVUTH-	TOW TRUCK HEAVY	
GRDTRK.EQT.GRDVEH.UTYVEH.AMBLNC 	S	*	G	*	EVUA--	AMBULANCE	
GRDTRK.EQT.GRDVEH.UTYVEH.AMBLNC.ARMD 	S	*	G	*	EVUAA-	ARMORED AMBULANCE	
GRDTRK.EQT.GRDVEH.ENGVEH 	S	*	G	*	EVE---	ENGINEER VEHICLE	
GRDTRK.EQT.GRDVEH.ENGVEH.BRG 	S	*	G	*	EVEB--	BRIDGE	
GRDTRK.EQT.GRDVEH.ENGVEH.ERHMR 	S	*	G	*	EVEE--	EARTHMOVER	
GRDTRK.EQT.GRDVEH.ENGVEH.CSNVEH 	S	*	G	*	EVEC--	CONSTRUCTION VEHICLE	
GRDTRK.EQT.GRDVEH.ENGVEH.MLVEH 	S	*	G	*	EVEM--	MINE LAYING VEHICLE	
GRDTRK.EQT.GRDVEH.ENGVEH.MLVEH.ARMCV 	S	*	G	*	EVEMV-	ARMORED CARRIER WITH VOLCANO	
GRDTRK.EQT.GRDVEH.ENGVEH.MLVEH.TRKMV 	S	*	G	*	EVEML-	TRUCK MOUNTED WITH VOLCANO	
GRDTRK.EQT.GRDVEH.ENGVEH.MCVEH 	S	*	G	*	EVEA--	MINE CLEARING VEHICLE	
